ID	Path	Name
1	terrain/One	One
2	Table/animationParameter	animationParameter
3	terrain/Two	Two
4	Table/propDate	propDate
5	Table/terrainParamber	terrainParamber
6	Monster/Rocket	Rocket
7	terrain/FarTwo	FarTwo
8	FlyItem/NormalRemonteAttack	NormalRemonteAttack
9	terrain/NearOne	NearOne
10	Monster/RedGas	RedGas
11	Table/effectDate	effectDate
12	Table/JellyDate	JellyDate
13	Prop/prop_MP	prop_MP
14	Table/cameraParamber	cameraParamber
15	Prop/prop_HP	prop_HP
16	Table/coinDate	coinDate
17	Table/memoryParameter	memoryParameter
18	terrain/FarOne	FarOne
19	FlyItem/LightAttack	LightAttack
20	Jelly/jelly_midTofar	jelly_midTofar
21	Table/flyItemDate	flyItemDate
22	Table/tableDate	tableDate
23	terrain/NearThree	NearThree
24	Table/terrainMoveDate	terrainMoveDate
25	Table/AssetBundleContent	AssetBundleContent
26	FlyItem/RangeRomateAttack	RangeRomateAttack
27	Monster/Tortoise	Tortoise
28	Monster/Chomper	Chomper
29	Table/motionParameber	motionParameber
30	Table/PetParaember	PetParaember
31	Prop/prop_fly	prop_fly
32	FlyItem/BigRemoteAttack	BigRemoteAttack
33	Jelly/jelly_midTonear	jelly_midTonear
34	Table/monsterDate	monsterDate
35	Monster/boss	boss
36	Table/terrainDate	terrainDate
37	Jelly/jelly_farTomid	jelly_farTomid
38	terrain/FarThree	FarThree
39	Prop/prop_score	prop_score
40	Monster/BlueGas	BlueGas
41	Coins/LowtoHigh	LowtoHigh
42	terrain/Three	Three
43	Coins/Line	Line
44	Coins/Arc	Arc
45	Table/bossDate	bossDate
46	Pet/dragon	dragon
47	terrain/Four	Four
48	Monster/Dragon	Dragon
49	Monster/Gas	Gas
50	Table/PetDate	PetDate
51	Monster/Whirlwind	Whirlwind
52	Table/WaSiBoss	WaSiBoss
53	Table/skillDate	skillDate
54	Table/skillParameber	skillParameber
55	terrain/NearTwo	NearTwo
56	Jelly/jelly_nearTomid	jelly_nearTomid
57	Coins/Star	Star
58	Table/monsterParameber	monsterParameber

