ID	name
1	ef_single_jump
2	ef_double_jump
3	ef_player_girl_atk01
4	ef_player_girl_atk02
5	ef_player_girl_atk03
6	ef_player_girl_atk04
7	ef_chuansong_chu
8	ef_chuansong_jin
9	ef_prop_spring
10	ef_pet_Hb_jianqi
11	ef_GQ_dhy_chongci
12	ef_GQ_long_chongci
13	ef_GQ_long_chongcijs
14	ef_debuff_hongse
15	ef_debuff_lanse
16	ef_debuff_lvse
17	ef_monster_zuishu
18	ef_GQ_long_fire
19	ef_monster_xiaopa
20	ef_monster_wasix4
21	ef_monster_wasi
22	ef_monster_guike
23	ef_chuansong_jinshan
24	ef_monster_hit
25	ef_prop_gold
26	ef_prop_quan
27	ef_prop_safetyhelmet_end
28	ef_scenes_hudongdaoju01
