AID	skillName	skillKeys	damage	MP	time
null	null	string	float	int	float
1	SkillNormalAttack	A	1	0	0.5f
2	SkillNormalAttack	AA	1	0	0.5f
3	SkillBigRemoteAttack	AB	1	15	1
4	SkillRangeRomateAttack	AAB	0.5f	30	1
5	SkillBigRollAttack	ABA	0	20	0.5f
6	SkillBigRollAttack	ABB	0	20	0.5f
7	SkillLightRemoteAttack	AAAA	3	55	2
8	SkillLightRemoteAttack	AAAB	3	55	2
9	SkillCallRemoteAttack	AABA	2	70	2
10	SkillCallRemoteAttack	AABB	2	70	2
11	SkillAccelerateAuxiliary	ABAB	10	30	10
12	SkillAccelerateAuxiliary	ABBB	10	30	10
13	null	ABBA	30	30	0.5f
14	SkillNormalRemoteAttack	B	0.5f	5	0.5f
15	SkillNormalRemoteAttack	BB	0.5f	5	0.5f
16	SkillRollAttack	BA	1.5f	10	2
17	SkillRollAttack	BAA	1.5f	10	2
18	SkillRollAttack	BAB	1.5f	10	2
19	SkillBigRollAttack	BBA	2	20	0
20	SkillBigRollAttack	BBB	2	20	0
21	SkillInvicibleAuxiliary	BAAA	0	40	2
22	SkillInvicibleAuxiliary	BAAB	0	40	2
23	SkillInvicibleAuxiliary	BABA	0	40	2
24	SkillInvicibleAuxiliary	BABB	0	40	2
25	SkillIaidoAttack	BBAA	4	50	0
26	SkillIaidoAttack	BBAB	4	50	0
27	SkillRangeAttack	BBBA	2	50	1
28	SkillRangeAttack	BBBB	2	50	1
29	SkillTreadAttack				
30	 SkillContinuousAttack	AAA	1.5	30	0
