tableName	tableElements
animationParameber	ID/name/dateType/dateValue
bulletParameter	ID/name/dateType/dateValue
coinDate	ID/name/memoryID/path/load
monsterDate	ID/name/HP/damage/class/range/memoryID/path/load
monsterParameber	ID/Name/null/Value
playerDate	
propDate	ID/name/property/prop/memoryID/path/load/probability
skillDate	ID/skillName/skillKeys/damage/MP/time
skillParameber	ID/name/dateType/dateValue
terrainDate	ID/terrainName/className/length/noPitRoad/path/load
terrainParamber	ID/name/dateType/dateValue
motionParameber	ID/name/dateType/dateValue
flyItemDate	ID/name/skillName/velocity/hide/IDParamber/path/load
memoryParameter	ID/name/value
memoryObjectParameter	ID/name/priority/path/load
effectDate	ID/name
cameraParamber	ID/name/dateType/dateValue
PetParaember	ID/name/dateType/dateValue
WaSiBoss	ID/name/dateType/dateValue
PetDate	ID/name/property/path/load
JellyDate	ID/Name/Path
AssetBundleContent	ID/Path/Name
